Name,X,Y,Angle,Value,Package
BOOT_BUTTON,13.52,107.76,180.00,BUTTON_CUSYOMV1,MYBUTTON
C1,146.73,6.36,270.00,100nF,EAGLE-LTSPICE_C0402
C10,57.43,107.43,270.00,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,82.94,53.51,270.00,CPH3225A,CAPCP3225X100N
C1_BAT,105.43,42.15,0.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,113.09,28.21,180.00,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,125.49,30.65,270.00,4.7uF,EAGLE-LTSPICE_C0402
C2,145.23,6.38,270.00,100nF,EAGLE-LTSPICE_C0402
C2_BAT,113.85,43.54,90.00,4.7uF,EAGLE-LTSPICE_C0402
C3,121.90,30.51,270.00,100uF,RCL_CT3528
C4,85.39,38.65,270.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,138.07,46.96,270.00,100nF,EAGLE-LTSPICE_C0402
C5,42.39,107.43,270.00,1uF,EAGLE-LTSPICE_C0402
C5_USB,145.07,49.35,270.00,4.7uF,EAGLE-LTSPICE_C0402
C6,17.49,107.43,270.00,100nF,EAGLE-LTSPICE_C0402
C7,73.73,32.53,0.00,10uF,EAGLE-LTSPICE_C0402
C8,75.60,51.23,0.00,100nF,EAGLE-LTSPICE_C0402
C9,-1.13,99.48,90.00,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,53.24,108.13,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,101.15,37.86,270.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,41.19,99.77,270.00,100nF,EAGLE-LTSPICE_C0402
D1,141.78,46.87,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,30.97,24.38,270.00,PGB1010603MR,DIOC1608X36N
D11,27.97,24.50,270.00,PGB1010603MR,DIOC1608X36N
D12,23.47,24.62,270.00,PGB1010603MR,DIOC1608X36N
D2,111.62,31.19,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,81.66,38.47,0.00,MBR0530,SOD3716X135N
D4,81.72,33.88,0.00,MBR0530,SOD3716X135N
D5,73.46,44.78,0.00,MBR0530,SOD3716X135N
D6,68.52,31.93,180.00,PGB1010603MR,DIOC1608X36N
D7,77.96,69.12,180.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,5.36,98.37,0.00,PGB1010603MR,DIOC1608X36N
D9,23.33,43.94,90.00,PGB1010603MR,DIOC1608X36N
EPD_C1,82.17,21.54,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,63.59,19.43,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,80.57,21.53,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C3,79.17,21.52,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C4,75.47,21.81,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,73.85,21.82,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,72.35,21.81,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,70.95,21.80,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,69.35,21.79,270.00,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,65.25,19.38,270.00,1uF/50V,EAGLE-LTSPICE_C0402
IC1,37.85,99.57,0.00,BD5229G-TR,SOT95P280X125-5N
IC4,116.93,31.29,0.00,XC6220A331MR-G,SOT95P280X125-5N
J1,75.47,13.64,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,155.10,54.30,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,156.08,19.12,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,-1.14,88.80,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,73.45,39.43,270.00,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE
MCP73831,110.51,39.69,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PMF.050.1,141.56,37.40,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,116.86,38.01,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,68.11,35.22,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,57.22,15.59,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,6.53,35.79,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,0.57,99.49,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,109.65,35.75,270.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,150.09,6.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,75.46,66.54,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,108.76,31.25,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,56.41,10.51,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,143.32,42.37,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,143.18,40.67,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,105.74,38.05,180.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,148.47,6.18,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,82.11,63.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,59.23,8.25,270.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,60.77,13.77,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
